,Info,Race,Income,Age,Sex,Marital,Politics,Urban,Collgrad,Office_H,Office_B,Office_A,Discrimination,Affect_W,Affect_H,Affect_B,Affect_A,Work_W,Work_B,Work_H,Work_A,Ident_W,Ident_B,Ident_H,Ident_A,Ident_USA
1429,-1,1,20,52,2,4,1,2,5,2,2,2,5,2,-1,-1,-1,3,-1,-1,-1,4,-1,-1,-1,2
1430,-1,3,14,61,1,4,3,2,1,1,1,1,4,1,3,-1,-1,-1,-1,2,-1,-1,-1,2,-1,1
1431,-1,1,19,42,2,1,1,3,5,2,1,2,5,1,-1,-1,-1,5,-1,-1,-1,4,-1,-1,-1,4
1432,-1,1,6,69,2,1,2,2,2,3,3,3,5,2,-1,-1,-1,2,-1,-1,-1,2,-1,-1,-1,2
1433,-1,1,1,80,2,1,2,4,3,3,3,3,5,4,-1,-1,-1,2,-1,-1,-1,1,-1,-1,-1,1
1434,-1,-9,-9,80,1,1,2,1,1,3,3,5,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
1435,-1,-9,-9,-9,-9,-9,3,2,-9,3,3,3,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1436,-1,1,17,56,2,1,2,-6,4,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
1437,-1,1,21,35,2,1,1,4,5,2,2,2,5,3,-1,-1,-1,2,-1,-1,-1,3,-1,-1,-1,3
1438,-1,1,21,55,1,1,3,3,5,5,5,5,4,3,-1,-1,-1,5,-1,-1,-1,4,-1,-1,-1,3
1439,-1,1,20,47,1,1,2,2,2,3,2,3,4,2,-1,-1,-1,3,-1,-1,-1,4,-1,-1,-1,2
1440,-1,1,17,80,1,1,3,3,5,3,2,2,5,2,-1,-1,-1,4,-1,-1,-1,3,-1,-1,-1,2
1441,-1,5,4,50,2,6,1,1,3,2,2,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3
1442,-1,2,13,61,2,4,1,2,3,2,2,3,2,-1,-1,1,-1,-1,1,-1,-1,-1,1,-1,-1,1
1443,-1,1,16,43,2,1,3,2,4,3,3,3,5,2,-1,-1,-1,5,-1,-1,-1,3,-1,-1,-1,3
1444,-1,1,13,50,2,6,2,1,4,5,5,5,3,1,-1,-1,-1,1,-1,-1,-1,3,-1,-1,-1,2
1445,-1,2,8,53,2,6,1,3,3,4,2,5,1,-1,-1,1,-1,-1,1,-1,-1,-1,1,-1,-1,5
1446,-1,3,10,59,2,1,1,1,3,2,2,2,4,2,3,-1,-1,-1,-1,2,-1,-1,-1,4,-1,2
1447,-1,1,10,69,2,1,3,2,5,3,3,3,3,2,-1,-1,-1,3,-1,-1,-1,2,-1,-1,-1,2
1448,-1,3,1,39,1,1,2,1,2,4,3,3,5,4,4,-1,-1,-1,-1,1,-1,-1,-1,1,-1,1
1449,-1,1,22,60,2,1,2,1,2,4,3,3,4,2,-1,-1,-1,1,-1,-1,-1,4,-1,-1,-1,1
1450,-1,1,19,47,2,1,2,2,4,5,5,5,4,3,-1,-1,-1,5,-1,-1,-1,2,-1,-1,-1,2
1451,-1,1,2,50,1,6,5,-6,3,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
1452,-1,1,10,80,2,1,2,2,2,4,4,4,5,2,-1,-1,-1,3,-1,-1,-1,5,-1,-1,-1,1
1453,-1,1,11,57,1,1,2,3,2,3,3,3,5,2,-1,-1,-1,3,-1,-1,-1,2,-1,-1,-1,2
1454,-1,3,20,34,1,6,1,2,5,1,1,1,5,1,2,-1,-1,-1,-1,1,-1,-1,-1,3,-1,5
1455,-1,1,9,59,2,1,2,2,3,3,3,3,5,4,-1,-1,-1,5,-1,-1,-1,5,-1,-1,-1,3
